record_id,source_kind,source_path,language,category,difficulty,instruction_tokens,answer_tokens,full_record_tokens,supervised_tokens,supervised_percentage
b01_js_debug_reduce_empty_total,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,javascript,debugging,basic,17,69,251,69,27.49
b01_js_normalize_label_map,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,javascript,data,basic,17,213,326,213,65.337
b01_js_parse_sort_direction,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,javascript,validation,basic,12,97,202,97,48.02
b01_js_require_delimiter,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,javascript,validation,basic,13,75,176,75,42.614
b01_js_sum_line_totals,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,javascript,validation,basic,12,223,338,223,65.976
b01_js_zip_equal,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,javascript,function,basic,13,92,190,92,48.421
b01_ps_convert_canonical_guid,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,powershell,validation,basic,18,148,263,148,56.274
b01_ps_convert_canonical_label,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,powershell,function,basic,9,81,177,81,45.763
b01_ps_convert_percent_text,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,powershell,validation,basic,16,100,213,100,46.948
b01_ps_debug_zero_retry_count,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,powershell,debugging,basic,20,95,265,95,35.849
b01_ps_require_trimmed_strings,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,powershell,validation,basic,16,168,288,168,58.333
b01_py_build_query_string,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,python,function,basic,16,134,247,134,54.251
b01_py_debug_independent_rows,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,python,debugging,basic,17,46,206,46,22.33
b01_py_debug_missing_key_vs_none,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,python,debugging,basic,20,44,223,44,19.731
b01_py_merge_nonnegative_counts,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,python,data,basic,30,199,345,199,57.681
