record_id,source_kind,source_path,language,category,difficulty,instruction_tokens,constraints_tokens,bad_code_tokens,reasoning_tokens,answer_tokens,full_record_tokens,supervised_tokens,supervised_percentage,characters,lines
b01_js_normalize_label_map,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,javascript,data,basic,17,31,0,0,213,326,213,65.337,1305,42
b01_js_sum_line_totals,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,javascript,validation,basic,12,32,0,0,223,338,223,65.976,1443,42
b01_ps_convert_canonical_guid,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,powershell,validation,basic,18,35,0,0,148,263,148,56.274,936,30
b01_ps_debug_zero_retry_count,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,powershell,debugging,basic,20,17,27,27,95,265,95,35.849,1070,42
b01_ps_require_trimmed_strings,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,powershell,validation,basic,16,41,0,0,168,288,168,58.333,1201,43
b01_py_build_query_string,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,python,function,basic,16,30,0,0,134,247,134,54.251,1022,32
b01_py_merge_nonnegative_counts,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,python,data,basic,30,53,0,0,199,345,199,57.681,1361,36
b01_py_require_trimmed_string_list,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,python,validation,basic,37,38,0,0,111,259,111,42.857,1183,32
b01_py_select_columns,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,python,data,basic,34,38,0,0,176,314,176,56.051,1296,35
b01_ts_map_unique_names,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,typescript,data,intermediate,26,23,0,0,169,287,169,58.885,1077,37
b01_ts_parse_core_semver,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,typescript,validation,intermediate,22,29,0,0,190,311,190,61.093,1101,33
b01_ts_parse_utc_offset,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,typescript,validation,intermediate,17,43,0,0,191,333,191,57.357,1133,35
b01_ts_validate_rgb_tuple,accepted_jsonl,data/incoming/phase3_5b_batch01_accepted.jsonl,typescript,validation,basic,17,28,0,0,134,245,134,54.694,947,29
b02_js_canonical_flat_json,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,javascript,data,intermediate,14,40,0,0,184,314,184,58.599,1233,36
b02_js_index_rows_by_field,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,javascript,data,basic,11,54,0,0,251,384,251,65.365,1419,38
b02_js_parse_csv_row,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,javascript,data,intermediate,12,51,0,0,310,458,310,67.686,1794,61
b02_js_parse_json_string_array,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,javascript,validation,basic,6,37,0,0,145,256,145,56.641,1005,32
b02_js_serialize_json_lines,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,javascript,data,basic,10,45,0,0,150,271,150,55.351,1112,30
b02_ps_measure_file_extension,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,powershell,data,basic,5,40,0,0,135,243,135,55.556,1186,43
b02_py_list_text_files,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,python,files,basic,21,45,0,0,137,285,137,48.07,1265,37
b02_py_load_build_toml,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,python,files,intermediate,16,46,0,0,154,285,154,54.035,1160,35
b02_py_merge_disjoint_objects,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,python,data,basic,24,42,0,0,138,269,138,51.301,1185,32
b02_py_parse_json_object_no_duplicates,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,python,data,intermediate,20,37,0,0,186,321,186,57.944,1477,45
b02_py_read_ini_section,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,python,files,basic,20,39,0,0,145,269,145,53.903,1218,35
b02_py_require_json_value,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,python,validation,intermediate,11,48,0,0,263,395,263,66.582,1843,53
b02_py_write_new_csv,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,python,files,intermediate,30,51,0,0,254,407,254,62.408,1658,45
b02_py_write_new_jsonl,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,python,files,intermediate,23,48,0,0,160,302,160,52.98,1279,38
b02_sql_debug_safe_json_count,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,sql,debugging,intermediate,22,39,19,25,85,277,85,30.686,1136,34
b02_sql_invalid_profile_payloads,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,sql,validation,intermediate,14,42,0,0,143,273,143,52.381,1217,31
b02_ts_debug_crlf_header,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,typescript,debugging,basic,23,24,35,24,77,265,77,29.057,998,31
b02_ts_index_composite_rows,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,typescript,data,basic,31,30,0,0,151,275,151,54.909,1051,31
b02_ts_parse_two_column_tsv,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,typescript,data,intermediate,15,46,0,0,239,372,239,64.247,1338,37
b02_ts_read_text_lines,accepted_jsonl,data/incoming/phase3_5b_batch02_accepted.jsonl,typescript,files,intermediate,20,48,0,0,125,263,125,47.529,934,29
b03_js_reject_duplicate_aliases,accepted_jsonl,data/incoming/phase3_5b_batch03_accepted.jsonl,javascript,debugging,intermediate,15,22,31,20,108,278,108,38.849,1164,39
b03_js_reject_partial_integer_text,accepted_jsonl,data/incoming/phase3_5b_batch03_accepted.jsonl,javascript,debugging,basic,15,26,52,20,99,313,99,31.629,1223,40
